epoch,accuracy,loss,val_accuracy,val_loss
0,0.045467034,3.314966917,0.046153847,3.339606762
1,0.075824179,3.086654425,0.05934066,3.227619886
2,0.10412088,2.847186565,0.085989013,3.313515902
3,0.145329669,2.562842846,0.159615383,2.406881571
4,0.183173075,2.33927393,0.149175823,2.843438864
5,0.222939566,2.160648584,0.277747244,2.032757521
6,0.301304936,1.893286824,0.368681312,1.727305174
7,0.370260984,1.690202236,0.369230777,1.844071507
8,0.442857146,1.470616341,0.50741756,1.253174901
9,0.526442289,1.2457304,0.462362647,1.733486414
10,0.598214269,1.062258363,0.63598901,0.969356596
11,0.66600275,0.922120631,0.733516455,0.75926131
12,0.713049471,0.786951303,0.767307699,0.657206595
13,0.76593405,0.667354584,0.744780242,0.785068452
14,0.812706053,0.545507073,0.730219781,0.820929348
15,0.839835167,0.467648506,0.807967007,0.63529104
16,0.859752774,0.422747165,0.814560413,0.576321423
17,0.877060413,0.372884125,0.827747226,0.56909889
18,0.894574165,0.327367783,0.76840657,1.20412755
19,0.897184074,0.313432306,0.466758251,3.398253679
20,0.906593382,0.297912538,0.863736272,0.432025224
21,0.916071415,0.254807681,0.790659368,0.761559904
22,0.925824165,0.235076606,0.911538482,0.275104344
23,0.925206065,0.23028174,0.610439539,2.573430777
24,0.928090632,0.234675005,0.920879126,0.261205286
25,0.934958816,0.203999996,0.850000024,0.567815483
26,0.944230795,0.173020959,0.892582417,0.395888031
27,0.942925811,0.181529358,0.876923084,0.426345825
28,0.947046697,0.162668154,0.88351649,0.48357895
29,0.946428597,0.1696859,0.875824153,0.524004877
30,0.959752738,0.132194534,0.839835167,0.604039788
31,0.954120874,0.144812167,0.873901069,0.494445771
32,0.956662059,0.142316371,0.944505513,0.204272985
33,0.956318676,0.139345169,0.870604396,0.644203007
34,0.959409356,0.129167274,0.909065962,0.320801318
35,0.967582405,0.099531002,0.934890091,0.241451919
36,0.963255465,0.119031884,0.853021979,0.651401937
37,0.963255465,0.121799752,0.857417583,0.686729193
38,0.965590656,0.108825505,0.809890091,0.853100359
39,0.97245878,0.087295458,0.9436813,0.206075415
40,0.968612611,0.09780328,0.9436813,0.201051593
41,0.966414809,0.115277015,0.832692325,0.794578314
42,0.975480795,0.079369843,0.935439587,0.232607514
43,0.975549459,0.08034838,0.846153855,0.67876339
44,0.970673084,0.094545461,0.726373613,1.362078905
45,0.98159343,0.064713106,0.94972527,0.194572434
46,0.977335155,0.07075499,0.929945052,0.309504718
47,0.973557711,0.085806392,0.666758239,2.061406136
48,0.980082393,0.070480287,0.923351645,0.314027846
49,0.974656582,0.078753978,0.643956065,2.016643763
50,0.978296697,0.069450699,0.940659344,0.233267412
51,0.980631888,0.066940695,0.923076928,0.292655855
52,0.980219781,0.062708139,0.946428597,0.214354321
53,0.983241737,0.058522999,0.917032957,0.387360096
54,0.97184068,0.095174648,0.090659343,11.91425991
55,0.983173072,0.061533265,0.489835173,3.365516663
56,0.977335155,0.075688519,0.506593406,3.870392084
57,0.985989034,0.049168784,0.764285743,1.456868529
58,0.983173072,0.06221636,0.788461566,1.224533081
59,0.985508263,0.05047603,0.699450552,1.633286595
60,0.983035743,0.054873962,0.73653847,1.536240935
61,0.984821439,0.044519853,0.646978021,2.373510838
62,0.982554972,0.059448779,0.682417572,2.060836792
63,0.978983521,0.074369512,0.441758245,4.303123474
64,0.987431347,0.043615572,0.795054972,1.045039654
65,0.985164821,0.047953762,0.94725275,0.245418742
66,0.988942325,0.037067644,0.896978021,0.493232131
67,0.987431347,0.043033455,0.894780219,0.495178998
68,0.988255501,0.040039964,0.388736278,5.339071274
69,0.974038482,0.0864162,0.912637353,0.365783125
70,0.986607134,0.04837415,0.797252774,0.946420372
