Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Mark
1433833.9336521665,-14212.58,-2230.11,-3637.86,-7670.36,-3828.58,-12976.21,-10758.92,-8925.03,-9235.40,-7749.36,-9712.63,-4067.70,-8788.51,-5484.06,-5352.42,-8966.22,-8040.57,-8322.26,-7289.77,+4468.01,+0000.00,+0003.01,-0002.41,-0008.43,0
1433833.9369855,-5488.65,+13396.46,+13418.73,+11988.71,+13402.48,-6254.93,+11484.94,+1104.07,-0452.25,+4983.46,-2344.70,+13412.41,-0204.30,+12488.22,+3567.60,-1168.94,+3710.23,-0761.44,+3151.53,+6282.93,+0000.00,+0002.41,-0002.41,-0008.13,0
1433833.940318833,+11462.76,+14104.94,+13868.93,+15488.60,+14560.78,+9306.46,+17906.51,+10218.19,+9835.29,+11335.19,+8946.03,+14029.76,+9254.28,+13119.18,+9329.24,+8967.44,+10792.33,+8547.33,+9848.35,-0491.49,+0000.00,+0002.11,-0002.71,-0008.13,0
1433833.9436521665,+10958.53,-8129.00,-7960.30,-3464.84,-7744.81,+11493.89,-1483.55,+3690.11,+5006.28,+0558.65,+6131.36,-7780.46,+4486.20,-5856.21,+1671.66,+4979.05,+1291.91,+4536.79,+1466.18,-8072.94,+0000.00,+0002.71,-0002.41,-0007.83,0
1433833.9469855,-5354.76,-17195.81,-17218.09,-16796.20,-17201.83,-1077.40,-17164.81,-7347.74,-6269.33,-10462.53,-5174.38,-17211.77,-6093.57,-16232.88,-7366.66,-5702.13,-9536.32,-5410.37,-8400.68,-2483.57,+0000.00,+0002.41,-0003.01,-0008.13,0
1433833.950318833,-14146.95,-2173.82,-3535.79,-7991.42,-3700.23,-12785.35,-9900.49,-8769.89,-9194.10,-7649.61,-9700.75,-4043.20,-8625.19,-5448.14,-5331.22,-8914.93,-7890.50,-8270.46,-7228.93,+4489.20,+0000.00,+0002.41,-0002.41,-0008.13,0
1433833.9536521665,-5189.31,+13338.16,+13360.44,+12083.66,+13344.18,-6313.23,+12193.03,+1767.75,+0102.65,+5508.36,-1978.30,+13354.12,+0328.38,+12895.18,+3509.31,-0700.48,+4301.10,-0306.66,+3550.46,+6341.22,+0000.00,+0002.41,-0002.41,-0008.13,0
1433833.9569855,+12089.00,+14049.90,+14417.45,+15959.91,+14804.65,+10312.01,+18314.83,+11246.64,+10743.08,+12196.79,+9707.20,+14443.33,+10101.77,+13947.64,+9330.90,+9772.46,+11676.97,+9402.31,+10649.40,-0489.83,+0000.00,+0002.71,-0002.71,-0008.13,0
1433833.9603188331,+11348.06,-8133.71,-7725.16,-2880.35,-7619.88,+11517.68,-0685.02,+4670.72,+5990.23,+1518.24,+7073.65,-7569.50,+5404.98,-4894.41,+1695.44,+6000.35,+2318.30,+5478.71,+2455.79,-8125.28,+0000.00,+0002.71,-0003.01,-0008.43,0
1433833.9636521665,-4434.62,-17078.93,-17101.20,-15591.85,-17084.95,-0101.40,-16979.15,-5814.24,-4725.55,-8859.03,-3484.67,-17094.88,-4468.52,-14684.78,-7249.77,-4051.65,-7950.07,-3843.37,-6797.35,-2600.45,+0000.00,+0002.71,-0002.41,-0008.43,0
1433833.9669854997,-14047.89,-2465.16,-2705.12,-6574.35,-3262.07,-12455.41,-9623.47,-7365.63,-7827.29,-6166.97,-8066.92,-3070.36,-7217.56,-3753.34,-5363.99,-7353.60,-6358.22,-6774.80,-5677.32,+4456.44,+0000.00,+0002.71,-0002.71,-0008.43,0
1433833.9703188331,-5097.79,+13296.35,+13318.63,+12949.62,+13302.37,-6355.03,+12076.76,+3034.14,+1394.69,+6939.08,-0239.60,+13312.31,+1640.61,+13315.62,+3467.50,+0836.76,+5719.69,+1098.95,+5072.00,+6383.03,+0000.00,+0002.11,-0002.41,-0008.13,0
1433833.9736521665,+12244.57,+14126.73,+14895.17,+16992.39,+15105.73,+10730.84,+18238.10,+12311.59,+11771.11,+13502.66,+11307.08,+15079.09,+11201.91,+15366.24,+9352.54,+11141.98,+12975.71,+10636.43,+11983.55,-0468.19,+0000.00,+0002.71,-0003.01,-0008.13,0
1433833.9769854997,+11531.44,-8026.37,-7578.31,-1436.35,-7473.48,+11566.53,-0846.38,+5635.24,+6860.28,+2592.25,+8424.22,-7337.67,+6275.08,-3595.27,+1744.29,+7116.24,+3333.56,+6469.40,+3476.17,-8076.43,+0000.00,+0002.71,-0002.71,-0007.83,0
1433833.9803188331,-4354.37,-17038.92,-17061.19,-14595.10,-17044.94,-0084.47,-17007.91,-5413.55,-4271.34,-8217.23,-2631.35,-17054.87,-4104.99,-13863.04,-7209.76,-3360.27,-7415.78,-3311.88,-6273.08,-2640.46,+0000.00,+0002.71,-0002.71,-0008.13,0
