Key,KeyID,HitPointLocal,KeyGroundTruthLocal
r,18,(-0.5935216 0.1341615),(-0.5332503 0.01100001)
r,18,(-0.5865772 0.09170152),(-0.5332503 0.01100021)
r,18,(-0.5847767 0.07074665),(-0.5332505 0.01099988)
r,18,(-0.5808377 0.05736873),(-0.5332506 0.01100032)
r,18,(-0.5773389 0.04772101),(-0.5332505 0.01100009)
r,18,(-0.5716128 0.03936534),(-0.5332506 0.01100031)
r,18,(-0.5669972 0.03677703),(-0.5332506 0.01100038)
r,18,(-0.5583351 0.035691),(-0.5332506 0.01099986)
r,18,(-0.5489302 0.03469389),(-0.5332494 0.01099995)
r,18,(-0.5395399 0.03514231),(-0.5332494 0.01099986)
r,18,(-0.5326957 0.03768031),(-0.5332495 0.0110003)
r,18,(-0.524878 0.03712603),(-0.5332499 0.01099995)
r,18,(-0.516544 0.0362119),(-0.5332499 0.01100014)
r,18,(-0.5060807 0.03902717),(-0.53325 0.01099972)
r,18,(-0.4960482 0.03948107),(-0.5332497 0.01100019)
r,18,(-0.4861103 0.0372763),(-0.5332493 0.01100038)
r,18,(-0.479503 0.03923353),(-0.53325 0.01099998)
r,18,(-0.4381803 0.05486858),(-0.5332505 0.01100018)
t,20,(-0.256406 0.1935573),(-0.18325 0.01100042)
e,5,(-1.02164 0.1868775),(-0.8832507 0.01100035)
w,23,(-1.114499 0.09240112),(-1.233251 0.01100017)
w,23,(-1.148031 0.0721232),(-1.23325 0.01100018)
w,23,(-1.170829 0.06392028),(-1.23325 0.01100046)
w,23,(-1.188986 0.05810478),(-1.23325 0.01100001)
w,23,(-1.203173 0.05616292),(-1.23325 0.01100025)
w,23,(-1.224411 0.05639108),(-1.23325 0.01100009)
w,23,(-1.238645 0.05575754),(-1.23325 0.01099997)
w,23,(-1.250363 0.05430558),(-1.233251 0.01100023)
w,23,(-1.265175 0.05336085),(-1.233251 0.01100008)
w,23,(-1.280617 0.05396068),(-1.23325 0.01100028)
w,23,(-1.296747 0.05180547),(-1.23325 0.01099984)
w,23,(-1.313791 0.05061217),(-1.23325 0.01100006)
w,23,(-1.333342 0.04836817),(-1.233251 0.01100012)
w,23,(-1.349786 0.04491052),(-1.233251 0.01100018)
w,23,(-1.362256 0.04173642),(-1.23325 0.01100017)
w,23,(-1.373602 0.03921038),(-1.233251 0.01100022)
w,23,(-1.374901 0.03687675),(-1.23325 0.01100017)
q,17,(-1.462316 0.02135878),(-1.583251 0.01099986)
q,17,(-1.483514 0.01872314),(-1.583251 0.011)
q,17,(-1.502878 0.01432219),(-1.583251 0.01099998)
q,17,(-1.517499 0.01148222),(-1.583251 0.01100028)
q,17,(-1.528615 0.01078535),(-1.58325 0.01100023)
q,17,(-1.535748 0.01187061),(-1.583251 0.0109999)
q,17,(-1.539419 0.01216938),(-1.583251 0.01100008)
q,17,(-1.535414 0.01043098),(-1.58325 0.01100029)
