Start,End,Mark
61163.35202906667,61224.12425128889,0
61224.12758462223,61224.33425128889,1
61224.337584622226,61224.37425128889,0
61224.37758462223,61224.48425128889,1
61224.48758462223,61225.50425128889,0
61225.507584622224,61225.76425128889,1
61225.76758462223,61225.80091795556,0
61225.80425128889,61226.55425128889,2
61226.55758462223,61227.437584622225,0
61227.44091795556,61227.94091795556,1
61227.94425128889,61229.48091795556,0
61229.48425128889,61230.38091795556,1
61230.384251288895,61230.44758462223,0
61230.45091795556,61230.81758462222,2
61230.820917955556,61230.86091795556,0
61230.86425128889,61230.96758462222,1
61230.97091795556,61231.02091795556,0
61231.024251288894,61231.897584622224,2
61231.90091795556,61231.97425128889,0
61231.977584622226,61232.63758462223,1
61232.640917955556,61232.674251288896,0
61232.67758462222,61232.97425128889,2
61232.977584622226,61233.01425128889,0
61233.01758462223,61233.34758462223,1
61233.35091795556,61233.384251288895,0
61233.38758462223,61233.88758462223,1
61233.890917955556,61233.91758462223,0
61233.92091795556,61235.174251288896,1
61235.17758462222,61236.844251288894,0
61236.84758462223,61238.33091795556,2
61238.33425128889,61239.454251288895,0
61239.45758462223,61240.23091795556,2
61240.23425128889,61240.24091795556,0
61240.244251288896,61240.50425128889,1
61240.507584622224,61240.52091795556,0
61240.524251288894,61241.21702906667,1
61241.2203624,61241.2803624,0
61241.283695733335,61241.5403624,2
61241.54369573334,61241.590362400006,0
61241.59369573334,61241.8603624,2
61241.86369573334,61241.89702906667,0
61241.9003624,61242.2203624,2
61242.22369573334,61242.25702906667,0
61242.260362400004,61242.590362400006,1
61242.59369573334,61243.98369573334,0
61243.98702906667,61245.05702906667,2
61245.06036240001,61245.13702906667,0
61245.1403624,61246.173695733334,2
61245.1403624,61246.173695733334,2
61246.17702906667,61247.62369573334,0
61247.62702906667,61247.92702906667,1
61247.9303624,61247.97702906667,0
61247.980362400005,61248.18702906667,1
61248.190362400004,61248.23369573334,0
61248.23702906667,61249.0303624,2
61249.033695733335,61249.08369573334,0
61249.08702906667,61249.8903624,2
61249.08702906667,61249.8903624,2
61249.08702906667,61249.8903624,2
61249.893695733335,61249.94369573334,0
61249.94702906667,61250.2403624,1
61250.243695733334,61250.283695733335,0
61250.28702906667,61250.37369573334,1
61250.37702906667,61250.41369573334,0
61250.41702906667,61250.463695733335,1
61250.46702906667,61252.353695733334,0
61252.35702906667,61252.72369573334,1
61252.72702906667,61252.760362400004,0
61252.76369573334,61253.41702906667,2
61253.4203624,61253.46702906667,0
61253.4703624,61253.6103624,2
61253.61369573334,61253.6403624,0
