absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText,eyeTrackingStatus,DesignMatrixCondition
61224.1363554,74.49357,0.0102054,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.147709,74.50446,0.0108877,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.1588572,74.5165,0.0120453,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.1825766,74.53992,0.0234182,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.1979524,74.55537,0.0154515,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.2111774,74.56824,0.0128638,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.2216954,74.57919,0.0109529,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.2329708,74.59043,0.0112425,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.2453785,74.60252,0.012085,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.2552997,74.61278,0.0102605,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.2667293,74.6241,0.0113215,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.2784229,74.6358,0.0116981,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.2901636,74.6471,0.0113038,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.3041522,74.66143,0.0143332,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.3159296,74.67332,0.0118884,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.3301966,74.68755,0.0142242,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.3433476,74.70079,0.0132473,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.3553938,74.71281,0.0120174,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.366584,74.72361,0.0107993,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.3785713,74.73553,0.0119231,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.3883898,74.74581,0.0102821,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.4001281,74.75778,0.0119672,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.4139912,74.77118,0.0133942,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.4266542,74.78316,0.0119796,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.4367186,74.79417,0.0110197,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.4484218,74.80572,0.0115407,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.4596789,74.81687,0.0111575,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.470398,74.8277,0.010825,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.4845342,74.84181,0.0141103,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61224.4945575,74.85213,0.0103264,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.5071286,74.86386,0.011723,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.5194625,74.87726,0.0134029,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.5308346,74.88817,0.010904,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.5428059,74.90026,0.0120933,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.553126,74.91099,0.0107313,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.5639318,74.92171,0.010727,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.5751341,74.93307,0.0113533,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.5874657,74.94491,0.0118349,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.5970609,74.95509,0.0101864,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.609282,74.96705,0.0119599,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.6247331,74.98246,0.0154062,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.6470863,75.00409,0.0216338,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.6567876,75.01481,0.0107196,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.6703016,75.02785,0.0130451,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.6932073,75.05029,0.0224397,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.7144801,75.07217,0.0218747,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.7365171,75.09413,0.0219639,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.759959,75.117,0.0228694,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.7698271,75.12756,0.0105535,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.7803622,75.13831,0.0107493,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.7929255,75.1505,0.0121907,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.8038589,75.16146,0.0109648,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.8158562,75.17372,0.0122628,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.8273697,75.18508,0.0113573,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.8394856,75.19705,0.0119726,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.8584552,75.21536,0.018309,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.8722822,75.22973,0.0143673,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.8798786,75.23739,0.0076596,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.8914784,75.24874,0.0113509,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.9029511,75.26044,0.0116991,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.9138058,75.27171,0.0112697,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.9244415,75.28219,0.0104761,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.9350789,75.29298,0.0107897,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61224.9468771,75.30445,0.0114779,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
