Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Mark
1435524.061,-12949.95,490.39,-530.22,-4999.51,-1320.75,-13294.61,-10809.64,-8618.29,-9074.41,-7034.58,-9506.25,-1416.57,-8513.27,-3349.63,-4318,-8817.65,-7281.25,-8178.68,-6688.86,5502.42,0,2.41,-2.71,-8.13,0
1435524.064,458.51,14694.93,14717.2,14712.08,14700.95,-4956.46,8366.65,2359.9,1097.74,5677.15,-849.96,14710.88,1027,13596.75,4866.07,86.19,4752.74,357,4131.26,4984.45,0,3.01,-2.41,-8.13,0
1435524.068,13420.33,11596.58,10903.91,12940.35,11946.24,10900.06,15492.2,9328.15,9140.18,9786.76,8574.87,11244.09,8535.22,10567.22,8671.65,8392.62,9466.43,7928.74,8536.16,-1149.08,0,2.71,-3.01,-7.83,0
1435524.071,6740.26,-9717.06,-9739.33,-8105.28,-9723.08,9934.33,467.63,1472.85,2548.98,-1484.86,3909.66,-9733.01,2407.62,-8548.55,112.1,2866.55,-880.04,2611.47,-795.15,-8130.68,0,2.41,-2.41,-8.13,0
1435524.074,-9341.11,-18204.07,-18337.63,-18332.52,-18321.38,-4548.86,-15032.26,-9528.02,-8844.58,-11939.79,-7722.48,-18331.31,-8344.68,-17180.81,-8486.21,-8068.72,-11326.86,-7604.37,-10265.85,-1364.02,0,2.71,-3.01,-8.13,0
1435524.078,-12255.64,565.36,-456.1,-4748.18,-1237.28,-13085.16,-9945.76,-8178.85,-8653.58,-6861.32,-9524.15,-1322.42,-8245.28,-3451.69,-4397.52,-8603.09,-7000.15,-7944.94,-6470.96,5422.91,0,2.41,-2.71,-8.43,0
1435524.081,1392.13,14750.52,14772.79,14767.68,14756.54,-4467.71,9715.79,3543.2,2253.37,6716.22,38.78,14766.47,2138.61,14513.72,4921.67,1109.5,5935.03,1415.04,5232.29,4928.86,0,2.41,-2.41,-8.13,0
1435524.084,14336.09,11963.37,11701.36,13997.02,12551.24,12556.8,17114.12,10939.55,10657.32,11304.22,9946.48,12088.82,9994.16,12027.75,8710.28,9907.35,11107.49,9418.08,10108.7,-1110.45,0,2.71,-2.71,-8.13,0
1435524.088,7510.85,-9665.34,-9687.62,-7144.3,-9671.36,9986.04,1783.28,3212.36,4135.64,196.19,5596.12,-9681.3,3942.31,-7013.62,163.81,4611.39,865.6,4223.42,893.51,-8074.77,0,2.41,-2.71,-8.13,0
1435524.091,-8762.75,-18213.97,-18185.19,-18149.8,-18327.97,-3424.76,-14158.85,-7894.26,-7225.58,-10289.76,-5895.67,-18248.97,-6736.37,-15577.06,-8492.8,-6261.49,-9583.01,-5935.52,-8603.05,-1357.43,0,2.41,-2.71,-8.13,0
1435524.094,-12033.37,513.87,239.88,-3388.77,-692.14,-12855.4,-9365.41,-6649.27,-7193,-5183.88,-7719.29,-472.13,-6822.44,-1642.67,-4348.82,-6896.18,-5366.07,-6360.02,-4855.01,5471.61,0,2.41,-2.71,-8.13,0
1435524.098,1535.5,14839.23,14861.51,14856.39,14845.25,-4292.67,9935.77,4860.52,3488.94,8132.94,1619.17,14855.19,3337.31,14858.5,5010.38,2654.75,7321.47,2792.15,6646.12,4840.15,0,2.71,-2.41,-8.13,0
1435524.101,14175.9,11815.97,12108.88,14702.42,12917.29,12481.45,16872.14,11749.08,11479.29,12257,11190.04,12705.5,10774.52,13226.49,8724.86,11050.38,12047.82,10408.11,11097.21,-1095.87,0,2.41,-2.41,-8.13,0
1435524.104,7376.5,-9584.39,-9606.66,-6230.1,-9590.41,10067,1488.37,3868.43,4858.31,1044.15,6752.17,-9600.34,4726.98,-5826.34,244.77,5633.87,1717.72,5112.69,1831.54,-8132.28,0,2.41,-3.01,-8.13,0
1435524.108,-9075.44,-18188.21,-18054.25,-17619.27,-18281.52,-3536.88,-14600.39,-7378.71,-6710.9,-9528.78,-4857.97,-18073.63,-6203.29,-14549.31,-8446.34,-5396.61,-8889.78,-5251.77,-7856.03,-1403.88,0,2.41,-2.71,-8.43,0
1435524.111,-12105.71,591.91,504.44,-2519.45,-507.51,-12762.11,-9605.98,-6190.36,-6720.23,-4537.05,-6769.21,15.22,-6343.84,-789.1,-4323.26,-6091.04,-4841.76,-5710.37,-4226.23,5497.16,0,2.11,-2.41,-8.43,0
1435524.114,1046.61,14700.17,14722.44,14717.33,14706.19,-4638.57,9316.49,4732.27,3381.39,8258.04,2031.63,14716.12,3278.9,14719.43,4871.32,2881.71,7274.81,2888.32,6670.48,4979.21,0,2.71,-2.41,-8.13,0
1435524.118,14105.97,12047.9,12324.74,15151.96,13264.31,12466.54,16863.32,11851.22,11560.08,12681.35,11683.57,12982.53,10972.48,13747.65,8753.42,11333.29,12208.24,10646.1,11327.65,-1067.31,0,2.71,-2.41,-7.83,0
1435524.121,7505.77,-9555.41,-9577.68,-6005.2,-9561.43,10095.98,1819.66,4022.64,4994.44,1425.44,7169.17,-9571.36,4869.59,-5520.55,273.75,5929.54,1812.18,5335.5,2056.39,-8122.78,0,2.71,-2.41,-8.73,0
1435524.124,-8480.32,-18184.33,-18099.72,-17558.62,-18260.54,-3214.04,-13951.78,-7185.34,-6572.27,-9316.8,-4643.13,-18155.1,-6043.19,-14317.35,-8425.37,-5200.45,-8872.69,-5070.57,-7744.33,-1424.86,0,2.41,-2.41,-8.73,0
1435524.128,-12434.73,438.07,32.29,-3790.38,-920.14,-12901.49,-9829.77,-7153.98,-7824.69,-5505.83,-7848.38,-768.83,-7252.02,-1954.79,-4374.82,-7142.21,-5884.55,-6711.87,-5256.23,5445.61,0,2.71,-2.41,-8.13,0
1435524.131,433.48,14592.43,14614.7,14609.58,14598.45,-5058.96,8855.31,3201.91,1808.94,6619,290.65,14608.38,1856.39,14611.69,4763.57,1149.16,5606.5,1300.46,5018.92,5086.95,0,2.41,-2.71,-8.13,0
1435524.134,13947.52,11893.77,11681.52,13915.89,12568.65,11603.86,16651.24,10580.07,10259.03,11139.6,9944.97,11980.36,9730.01,12089.66,8709.98,9735.18,10679.3,9204.15,9824.81,-1110.75,0,2.41,-3.01,-8.13,0
1435524.138,7372.11,-9595.39,-9617.66,-7359.2,-9601.41,10056,1431.92,2814.12,3777.89,-19,5581.91,-9611.34,3828.77,-6930.44,233.77,4451.68,511.25,4041.03,602.67,-8162.16,0,2.41,-2.71,-8.13,0
1435524.141,-8436.37,-18223.79,-18214.49,-18033.6,-18236.71,-3698.01,-14142.94,-7905.71,-7302.71,-10254.87,-5783.97,-18246.65,-6744.66,-15323.2,-8401.54,-6181.36,-9685.51,-5935.77,-8646.07,-1448.69,0,2.41,-3.01,-8.43,0
1435524.144,-12652.48,189.92,-482.11,-4563.54,-1470.67,-13114.72,-10556.57,-7915.33,-8470.97,-6361.37,-8741.35,-1347.22,-7963.32,-2835.41,-4411.49,-7961.49,-6690,-7504.36,-6134.06,5408.93,0,2.71,-2.71,-8.13,0
1435524.148,290.65,14619.25,14641.52,14636.41,14625.27,-5032.14,8322.07,2797.47,1477.99,6169.67,-336.84,14635.2,1424.47,14135.99,4790.4,665.19,5207.52,822.3,4471.96,5060.13,0,2.41,-2.41,-8.43,0
1435524.151,13284.87,11893.91,11475.87,13506.96,12551.94,10713.46,15518.91,9711.31,9476.65,10296.91,9033.09,11822.36,8934.72,11354.23,8774.61,8895.91,9925.22,8375.25,8953.65,-1046.12,0,2.71,-2.71,-7.83,0
1435524.154,6785.85,-9521.02,-9543.29,-7757.2,-9527.04,10130.37,442.99,1789.62,2840.77,-1073.54,4361.18,-9536.97,2807.55,-8022.21,308.14,3340.71,-517.75,2930.23,-441.39,-8108.47,0,2.41,-2.71,-8.13,0
1435524.158,-9280.35,-18214.36,-18238.43,-18233.31,-18222.18,-4667.28,-15409.39,-9533.33,-8712.96,-11888.56,-7469.4,-18232.11,-8177.42,-17037.43,-8387,-7842.19,-11274.3,-7516.87,-10348.99,-1463.22,0,2.71,-2.41,-8.73,0
1435524.161,-12876.8,223.79,-1019.35,-5511.28,-1874.38,-13221.78,-11137.03,-8918.11,-9296.99,-7430.04,-9991.98,-1869.7,-8816.98,-3999.44,-4425.02,-9168.18,-7675.03,-8498.73,-7176.8,5395.4,0,2.71,-2.71,-8.13,0
1435524.164,215.56,14629.74,14652.01,14646.9,14635.76,-5021.65,8143.88,1952.65,772.93,5322.31,-1377.41,14645.69,729.45,13203.96,4800.89,-308.89,4390.93,19.67,3660.52,5049.64,0,3.01,-3.01,-8.43,0
1435524.168,13357.83,11896,11169.22,12972.99,12327.42,10889.1,15745.54,9153.61,9078.05,9735.59,8189.72,11431.78,8432.48,10499.16,8768.9,8198.2,9382.48,7778.45,8351.02,-1051.83,0,2.41,-3.01,-8.13,0
1435524.171,6966.81,-9547.86,-9570.13,-8058.38,-9553.88,10103.53,985.48,1478.07,2621.83,-1490.78,3704.06,-9563.81,2512.65,-8573.81,281.29,2864.78,-844.2,2543.93,-877.09,-8093.66,0,2.41,-2.71,-8.43,0
1435524.174,-9164.69,-18239.83,-18262.11,-18256.99,-18245.85,-4330.65,-14724.1,-9562.41,-8779.86,-11986,-7913.25,-18255.79,-8248.17,-17504.12,-8410.68,-8104.86,-11355.39,-7625.76,-10451.98,-1439.55,0,2.41,-3.01,-8.13,0
1435524.178,-12822.95,18.36,-1230.55,-6133.75,-2139.04,-13158.51,-10593.52,-8960.96,-9279.2,-7514.57,-10353.71,-2286.9,-8789.07,-4512.04,-4472.37,-9285.96,-7690.98,-8599.78,-7279.12,5348.06,0,2.41,-2.41,-8.43,0
1435524.181,102.86,14674.7,14696.97,14691.85,14680.72,-4976.69,8576.96,2119.23,886.92,5356.47,-1528.72,14690.65,801.69,12958.58,4845.84,-288.62,4523.8,47.23,3714.79,5004.68,0,2.71,-2.71,-8.13,0
1435524.184,13250.95,11986.04,11439.5,13104.01,12508.15,11048.93,16126.59,9577.08,9484.48,10102.05,8383.28,11670.64,8824.42,10765.45,8790.24,8534.39,9839.19,8120.54,8706.43,-1030.49,0,2.71,-2.41,-8.13,0
1435524.188,7416.6,-9494.14,-9516.41,-7490.23,-9500.16,10157.25,1566.96,2616.85,3753.98,-423.28,4730.99,-9510.09,3547.73,-7702.59,335.02,3932.87,262.95,3616.31,210.35,-8097.48,0,2.71,-2.71,-8.13,0
1435524.191,-8426.76,-18227.99,-18255.36,-18196.46,-18240.01,-3014.25,-14126.8,-7978.08,-7165.83,-10508.53,-6281.39,-18249.94,-6783.04,-16069.76,-8404.84,-6511.24,-9781.5,-6095.09,-8842.54,-1445.39,0,2.41,-2.71,-8.13,0
1435524.194,-12147.03,278.4,-182.51,-3736.49,-1215.81,-12773.96,-9793.14,-6978.26,-7436.03,-5624.1,-8262.42,-792.18,-7012,-2355,-4487.4,-7293.02,-5800.98,-6754.54,-5319.84,5333.03,0,2.41,-2.71,-8.13,0
1435524.198,1297.37,14608.91,14631.18,14626.07,14614.93,-4502.31,9424.37,4444.9,3240.61,7724.21,1069.35,14624.86,3029.33,14628.17,4780.06,2265.5,6959.28,2404.9,6171.87,5070.47,0,2.41,-2.41,-8.13,0
