C3C4HZ01	C3C4HZ15	C3C4HZ31	CZPOHZ26	CZPOHZ36	CZPOHZ37	F3CZHZ06	F3CZHZ07	F3CZHZ10	F3CZHZ16	F3CZHZ28	FZC3HZ01	FZC3HZ06	FZC3HZ08	FZC3HZ13	FZC3HZ15	FZPOHZ04	FZPOHZ10	FZPOHZ16	FZPOHZ28	FZPOHZ40	PROB3	PROB7	PROB8	rC34Hz08	rC34Hz15	rC34Hz16	rCPOHz16	rCPOHz32	rCPOHz34	rCPOHz38	rCPOHz40	rF3CHz12	rF3CHz20	rFC3Hz17	rFC3Hz30	rFPOHz33	rFPOHz35
7.453896293967380E+00	-1.758009906608890E+00	-6.713082116225490E-02	2.542984897733820E-01	-3.668388368223250E-02	-1.164557990829600E-01	-5.912308201958460E-01	-3.658421776801700E-01	-8.594873088755300E-02	1.151788000487210E-01	1.650293778305650E-01	-2.229644391378890E+00	-9.005030912987640E-02	1.314462345489750E-01	4.590033376065890E-02	3.311066694427450E-01	-1.604287365881910E+00	7.664159315801440E-01	-6.353257528521510E-01	1.071933664704240E-01	4.060145218589850E-01	-2.286080178974780E-01	-2.484815281129750E-01	4.464661217619150E-01	2.719696806960470E-01	-1.736572733292770E+00	-2.656424162997360E-01	-7.531538737729820E-01	-5.281715874479010E-02	-1.707377778453930E-01	-4.158394956781790E-01	2.191795397739620E-01	-4.055812044563780E-01	-3.136193793280010E-01	-4.107369782634470E-01	4.709190000778780E-01	3.777887658546190E-02	3.846156114832800E-01
-1.758009906608890E+00	4.404238887085530E+01	-4.096478640738940E+00	-2.747822207083460E+00	-6.414558936599950E-01	-2.242017379319230E+00	-1.143254734027500E+00	-2.178722053461490E+00	-3.810281539413580E+00	-2.421258569838730E+00	-2.017642730269850E+00	8.001756724045830E-01	-3.122229094113900E-01	-4.872916274448830E+00	-4.306572878772680E+00	-6.622496747992840E+00	-9.404338638242720E-01	-1.288798199921490E+00	1.532983412909350E+00	-5.548153454601370E-01	-1.737658041224500E-01	3.341783622300300E+00	3.473333383021510E+00	2.991648904358780E+00	-3.811243215532650E+00	3.791419551098890E+01	-4.143809495654090E+00	2.139073911877750E+00	8.331582499982570E-02	1.902636016635250E-01	-2.469623542490920E+00	-1.114677884656900E+00	1.421467349014310E+00	6.938880059855710E-01	2.526842637036580E+00	-2.596744065543810E+00	1.678039033894730E+00	-9.747758836214100E-01
-6.713082116225490E-02	-4.096478640738940E+00	9.555346740938520E+00	2.540399127597830E-01	-6.204863617300770E-01	-7.530821088656730E-02	-2.231414220740880E-01	-1.618203196180540E-01	-9.658465346141850E-02	-3.794236684275310E-01	-7.123543014054940E-01	-1.044572899920580E-01	-8.977374875441990E-01	-3.603502359911150E-01	-3.203785040546530E-01	-5.176543463067810E-01	-8.768157728961610E-01	-3.040193367236130E-02	-9.735351563642370E-02	6.959294061385550E-02	-2.276229727386990E-01	-2.741646927049610E-01	-2.573869178602390E-01	-5.036864791551920E-01	-4.841353493065140E-01	-3.992187660423230E+00	5.430856646955860E-01	-5.577577777726830E-01	6.739966987677280E-01	9.369866964602600E-01	6.001492766343150E-02	1.851178355187250E-01	-2.038143487833570E-01	2.828203076028580E-01	2.217075730766880E-01	4.026338683480700E+00	1.124618522802900E-02	-2.986600643652140E-01
2.542984897733820E-01	-2.747822207083460E+00	2.540399127597830E-01	1.002931291171860E+01	-3.679255715048760E-01	-1.200201292917490E+00	-1.862868116569210E-03	7.297223289698040E-02	-3.348834692941500E-01	-3.271901860516540E-01	-1.762992780726690E+00	2.977710733139120E-01	8.176170667591690E-02	2.352970104074040E-01	-5.743654603270270E-01	-5.068307174614830E-03	-4.893435483335830E-01	-4.805793048984610E-02	-1.685843216612680E+00	-1.516105139979790E+00	-1.229423316756190E+00	6.752645578177910E-01	2.805188377336590E-01	7.246971678284650E-01	1.146307813187970E-01	-2.046567158099190E+00	6.419835907774250E-01	-7.899571303227550E-01	5.015172551667290E-01	-6.624300463722670E-01	4.958137878655220E-02	-3.830670245927210E-01	4.582272033051990E-01	3.117907304238260E-01	3.624788661804230E-01	2.343788441178570E-02	9.166670190309110E-01	2.226854806925090E-01
-3.668388368223270E-02	-6.414558936599920E-01	-6.204863617300780E-01	-3.679255715048760E-01	1.776879495912630E+01	-1.084706908511960E+01	1.552764490167970E-01	-9.749062418454740E-01	-1.599441144768350E-01	-2.375732973228440E-02	-1.664977866971450E-01	1.986753860019350E-01	-8.140310669746730E-01	2.109064542045370E-01	-1.147318928969150E-01	2.114977517076090E-01	-2.391970702268330E-01	-1.234701900413640E+00	-1.451462408927470E+00	-5.399461992647070E-01	-1.343672172919700E+00	7.989997039431390E-02	5.502940076542530E-01	1.561928507408560E-01	4.674415671829890E-02	-5.373907969127730E-01	-1.669719736619420E-01	-9.041417015610330E-01	3.477181133714290E-01	-3.264840210399390E-01	-2.762370120228710E+00	8.597237682725660E-01	9.063845586740860E-01	7.993793153589640E-03	5.128176329726150E-02	-3.650067090848470E-01	-4.846646240449950E-01	6.144601962491460E+00
-1.164557990829600E-01	-2.242017379319230E+00	-7.530821088656990E-02	-1.200201292917490E+00	-1.084706908511950E+01	2.063649746542650E+01	-3.037010612287530E-01	3.413038591192930E-01	1.446201140152340E-01	3.018375917813800E-01	3.085737171654090E-02	-2.240163173832830E-01	1.397841062344890E-02	-4.100669802084140E-01	3.891769324927670E-01	7.015495182284000E-01	-3.908413522137600E-01	-1.242335370561630E+00	-2.470533530554480E+00	-6.707930998174740E-01	-2.550821968363710E+00	1.277655157634650E+00	9.679493528692510E-01	7.868013507327040E-01	5.198500897827630E-02	-1.808844147453920E+00	9.139788454456940E-02	-1.655032401329160E+00	-4.306541050265110E-01	2.342256798776470E-01	9.240872828155830E+00	-2.275678455005260E+00	-5.900463670923850E-01	6.052729009320800E-01	-3.393652576321590E-01	7.705355064674870E-02	1.091384244580790E+00	-2.094429348544660E+00
-5.912308201958450E-01	-1.143254734027500E+00	-2.231414220740880E-01	-1.862868116569440E-03	1.552764490167980E-01	-3.037010612287540E-01	1.407956896609500E+01	-7.701506208046940E+00	-3.310506900489020E-02	-4.053880733434450E-01	-5.370014941255260E-01	-5.675310179429160E-01	-1.668372378899060E+00	2.472470790871600E-01	3.719389570802150E-01	-1.689861365279820E-01	-1.195625152537260E+00	6.376970539199320E-01	-1.369897381132540E-01	3.943108933798600E-01	1.464398764485050E-01	5.882681481398040E-02	4.572454081541570E-01	9.364631555099970E-01	-4.955851568442570E-01	-1.693627118932470E+00	-6.414515973798280E-01	3.442281688673890E-02	3.112282745192760E-01	6.728662498117640E-02	2.767210126759970E-02	-5.964122132587400E-01	-1.026602721047320E+00	-1.047548474405930E+00	1.712347711184320E-01	1.478144814342250E-01	-8.431178137560190E-02	-1.096584719439690E-01
-3.658421776801700E-01	-2.178722053461490E+00	-1.618203196180540E-01	7.297223289698050E-02	-9.749062418454740E-01	3.413038591192940E-01	-7.701506208046930E+00	1.520986466071090E+01	-4.066248813084080E-01	-5.100043092262040E-01	-9.989049160502320E-04	2.824310133039390E-01	-6.541780630481620E-01	-1.221242936982950E+00	1.712458142776340E-01	-1.188697594000580E-01	-5.290311240745420E-02	3.216860539442620E-01	-8.416426684217520E-01	3.606273498617120E-01	-3.749849892788810E-01	-1.242515515837930E+00	-1.421982406376740E+00	-1.306761895992360E+00	1.594967669839320E+00	-2.020598329564320E+00	1.864684390261740E-01	4.271905330616760E-03	-1.018369242184750E-02	4.672324841146750E-01	-8.164415165215480E-02	-4.326701831915450E-01	-7.409740123475910E-01	-5.355098917477730E-01	4.467535964355860E-02	2.560454255718560E-01	2.665359543300010E-02	-5.141155945186080E-01
-8.594873088755320E-02	-3.810281539413580E+00	-9.658465346141850E-02	-3.348834692941510E-01	-1.599441144768340E-01	1.446201140152350E-01	-3.310506900488990E-02	-4.066248813084090E-01	1.001768782719290E+01	-4.776261460490210E-01	-5.987934465222340E-01	2.505222217409790E-01	8.767029961198980E-02	-8.984573619501450E-01	-2.207185743418030E-01	-2.785583352222280E-01	1.058479088936500E-01	-3.627652485957040E+00	2.041572530490490E-01	-3.724814690741790E-01	-1.800684284012400E-01	-3.895393876419750E-01	-2.630171562313880E-01	8.932478124430440E-01	2.319475966778360E-01	-3.785681059226650E+00	-4.037312946643990E-02	-7.674832236501940E-02	3.808444128406940E-01	3.749367055519830E-01	5.185834587633070E-01	-3.077719040395510E-01	-4.965330048419370E-01	-1.297556577308630E+00	-1.078441672224300E-01	1.759501279514550E-01	-4.606378970089620E-01	-6.935083730263860E-01
1.151788000487200E-01	-2.421258569838730E+00	-3.794236684275300E-01	-3.271901860516530E-01	-2.375732973228330E-02	3.018375917813770E-01	-4.053880733434440E-01	-5.100043092262040E-01	-4.776261460490200E-01	1.065479043908550E+01	-1.411299395958460E+00	-4.495143137640910E-01	-5.091424042216820E-02	-4.711194407111660E-01	-3.889503126224270E-01	-8.993233061771090E-02	2.927965128491260E-01	5.944760019895620E-01	-4.315391144329750E+00	5.061497881336720E-01	-6.910098366247680E-01	-6.425269013848080E-01	-5.312470363702930E-01	-6.232961401297960E-01	2.849309300469410E-01	-2.220128200269050E+00	2.210939915388060E+00	-1.975778737731760E+00	2.160644726914670E-01	2.918540734563900E-01	-6.171760784902120E-02	-6.723984411480450E-01	-6.994619970776920E-01	1.141348514518230E+00	4.992975930332810E-01	5.757019909729260E-01	-1.855583017998080E-01	2.568989904328860E-01
